scorer,DLC_resnet50_BilliardSep21shuffle1_20000,DLC_resnet50_BilliardSep21shuffle1_20000,DLC_resnet50_BilliardSep21shuffle1_20000,DLC_resnet50_BilliardSep21shuffle1_20000,DLC_resnet50_BilliardSep21shuffle1_20000,DLC_resnet50_BilliardSep21shuffle1_20000,DLC_resnet50_BilliardSep21shuffle1_20000,DLC_resnet50_BilliardSep21shuffle1_20000,DLC_resnet50_BilliardSep21shuffle1_20000,DLC_resnet50_BilliardSep21shuffle1_20000,DLC_resnet50_BilliardSep21shuffle1_20000,DLC_resnet50_BilliardSep21shuffle1_20000,DLC_resnet50_BilliardSep21shuffle1_20000,DLC_resnet50_BilliardSep21shuffle1_20000,DLC_resnet50_BilliardSep21shuffle1_20000
bodyparts,white,white,white,purple,purple,purple,red,red,red,start_tip,start_tip,start_tip,end_tip,end_tip,end_tip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,143.79745483398438,230.80911254882812,0.9999953508377075,217.2902374267578,229.80117797851562,0.9999843835830688,498.7096252441406,158.2523956298828,0.9999722242355347,569.4273681640625,316.8760070800781,0.9932675361633301,623.2179565429688,318.42041015625,0.9994441866874695
1,143.79371643066406,230.8688507080078,0.9999964237213135,216.9468994140625,229.6309356689453,0.9999817609786987,498.53302001953125,158.1385040283203,0.9999752044677734,569.731689453125,316.84124755859375,0.9942656755447388,623.5438232421875,318.5500793457031,0.999591588973999
2,143.7270965576172,230.699951171875,0.9999970197677612,216.9861602783203,229.64732360839844,0.9999796152114868,498.3924255371094,157.98960876464844,0.9999755620956421,569.28759765625,316.82269287109375,0.9960238337516785,623.3513793945312,318.4399719238281,0.9995859861373901
3,143.6614532470703,230.80361938476562,0.9999974966049194,216.9759521484375,229.67811584472656,0.999979555606842,498.2315673828125,157.8876190185547,0.9999810457229614,569.4461059570312,316.25042724609375,0.9949594736099243,623.7928466796875,318.568115234375,0.9996194839477539
4,143.6708221435547,230.85401916503906,0.9999971389770508,216.9273681640625,229.5403289794922,0.9999784231185913,498.2021484375,157.8118896484375,0.9999810457229614,569.7554321289062,316.1811828613281,0.9950223565101624,623.8917846679688,318.38018798828125,0.9996567964553833
5,143.70510864257812,230.88107299804688,0.9999971389770508,216.74526977539062,229.64698791503906,0.9999746084213257,498.0281066894531,157.73681640625,0.9999820590019226,569.6340942382812,316.0927734375,0.9949887990951538,623.8778076171875,318.2980041503906,0.999650776386261
6,143.8206024169922,230.9252166748047,0.999997615814209,216.57106018066406,229.7123260498047,0.9999728202819824,498.06787109375,157.67626953125,0.999984860420227,570.0654907226562,316.06378173828125,0.9956645965576172,623.9371948242188,318.296142578125,0.9996243715286255
7,143.81500244140625,230.9687042236328,0.9999974966049194,216.72418212890625,229.66549682617188,0.9999711513519287,498.18890380859375,157.6407928466797,0.9999856948852539,570.4832153320312,316.1808776855469,0.9956303834915161,624.0868530273438,318.37567138671875,0.9996841549873352
8,143.83782958984375,230.84515380859375,0.9999957084655762,216.37088012695312,229.85134887695312,0.9999608993530273,497.9152526855469,157.6870880126953,0.9999866485595703,570.2727661132812,316.37799072265625,0.9953912496566772,623.9327392578125,318.36785888671875,0.9996604323387146
9,143.94102478027344,230.94125366210938,0.9999960660934448,216.72103881835938,229.8919219970703,0.9999711513519287,497.98883056640625,157.62039184570312,0.9999864101409912,570.6326904296875,316.22735595703125,0.9960706830024719,624.0497436523438,318.3525390625,0.9996821880340576
10,143.84922790527344,230.81700134277344,0.9999967813491821,216.73289489746094,229.65711975097656,0.9999660849571228,498.0763244628906,157.66734313964844,0.9999866485595703,570.4049682617188,316.1069030761719,0.9956321716308594,624.108642578125,318.26165771484375,0.9997415542602539
11,143.9145965576172,230.77444458007812,0.9999959468841553,216.59544372558594,229.83187866210938,0.9999666810035706,497.9361877441406,157.6416778564453,0.9999866485595703,570.3326416015625,316.20172119140625,0.9954847097396851,623.9443969726562,318.3333435058594,0.9996446371078491
12,143.88388061523438,230.94189453125,0.9999967217445374,216.7855682373047,229.87277221679688,0.9999707937240601,497.9687194824219,157.68463134765625,0.9999882578849792,570.6402587890625,316.1661376953125,0.996057391166687,624.0906372070312,318.44757080078125,0.9996603727340698
