scorer,DLC_resnet50_BilliardSep21shuffle1_20000,DLC_resnet50_BilliardSep21shuffle1_20000,DLC_resnet50_BilliardSep21shuffle1_20000,DLC_resnet50_BilliardSep21shuffle1_20000,DLC_resnet50_BilliardSep21shuffle1_20000,DLC_resnet50_BilliardSep21shuffle1_20000,DLC_resnet50_BilliardSep21shuffle1_20000,DLC_resnet50_BilliardSep21shuffle1_20000,DLC_resnet50_BilliardSep21shuffle1_20000,DLC_resnet50_BilliardSep21shuffle1_20000,DLC_resnet50_BilliardSep21shuffle1_20000,DLC_resnet50_BilliardSep21shuffle1_20000,DLC_resnet50_BilliardSep21shuffle1_20000,DLC_resnet50_BilliardSep21shuffle1_20000,DLC_resnet50_BilliardSep21shuffle1_20000
bodyparts,white,white,white,purple,purple,purple,red,red,red,start_tip,start_tip,start_tip,end_tip,end_tip,end_tip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,143.32452392578125,229.70681762695312,0.9999958872795105,214.44998168945312,226.93368530273438,0.9998800158500671,497.6875305175781,157.93377685546875,0.9999884963035583,537.1561889648438,314.6058654785156,0.9938458204269409,589.8438720703125,312.37030029296875,0.9999082088470459
1,143.33665466308594,229.80177307128906,0.9999961256980896,214.49676513671875,226.99652099609375,0.9998818635940552,497.7234802246094,157.78395080566406,0.9999918937683105,537.0614624023438,314.6196594238281,0.9948363304138184,589.9259033203125,312.3230285644531,0.9999376535415649
2,143.4024658203125,229.84780883789062,0.9999972581863403,214.65304565429688,227.27516174316406,0.9998879432678223,497.3932189941406,157.65306091308594,0.9999915361404419,537.7109985351562,315.11834716796875,0.9956178665161133,589.7921142578125,312.1397705078125,0.9999476671218872
3,143.43545532226562,229.8572540283203,0.9999972581863403,214.7217559814453,227.26429748535156,0.9999009370803833,497.2427978515625,157.5767822265625,0.9999933242797852,536.9198608398438,314.4455261230469,0.995599627494812,589.866943359375,312.13970947265625,0.9999396800994873
4,143.42391967773438,229.913818359375,0.9999975562095642,214.58750915527344,227.36312866210938,0.9999017715454102,497.1138916015625,157.28106689453125,0.9999939203262329,537.031982421875,314.0666809082031,0.9959167242050171,590.0177001953125,312.10491943359375,0.999951958656311
5,143.3177490234375,229.7605438232422,0.999997615814209,214.45147705078125,227.61013793945312,0.9999221563339233,497.099609375,157.3831787109375,0.9999935626983643,537.2966918945312,314.0434875488281,0.995936393737793,590.1761474609375,312.1974792480469,0.9999603033065796
6,143.3968963623047,229.88214111328125,0.9999977350234985,214.35525512695312,227.74349975585938,0.9999228715896606,497.053466796875,157.2366180419922,0.999994158744812,537.0953369140625,313.9146423339844,0.9960168600082397,590.1661376953125,312.2864074707031,0.9999537467956543
7,143.440673828125,230.0094451904297,0.9999977350234985,214.55416870117188,227.621826171875,0.9999256134033203,496.9324035644531,157.14845275878906,0.9999936819076538,537.2215576171875,313.7803039550781,0.9957939386367798,590.3153686523438,312.5727233886719,0.9999569058418274
8,143.41659545898438,229.92311096191406,0.9999978542327881,214.55978393554688,228.11326599121094,0.9999485015869141,496.8995666503906,157.2313690185547,0.9999940991401672,537.2920532226562,313.8547058105469,0.995824933052063,590.4185180664062,312.5827331542969,0.9999638795852661
9,143.31637573242188,229.96791076660156,0.9999978542327881,214.68997192382812,228.24525451660156,0.9999396800994873,496.8113708496094,157.14004516601562,0.9999942779541016,537.4197998046875,313.7623291015625,0.9961678981781006,590.2976684570312,312.4351501464844,0.9999605417251587
10,143.41648864746094,230.08282470703125,0.999997615814209,214.70220947265625,227.82350158691406,0.9999459981918335,496.81488037109375,157.12521362304688,0.9999939799308777,537.4669799804688,313.6925048828125,0.9960195422172546,590.358642578125,312.2877502441406,0.9999628067016602
11,143.41993713378906,230.06996154785156,0.9999973773956299,214.73477172851562,228.12469482421875,0.999941349029541,496.93072509765625,157.27345275878906,0.9999936819076538,537.3223876953125,313.7481689453125,0.9957219958305359,590.4560546875,312.49652099609375,0.9999669790267944
12,143.48336791992188,229.96546936035156,0.9999976754188538,214.7384796142578,228.0688018798828,0.9999381303787231,496.7386169433594,157.13534545898438,0.9999946355819702,537.8660888671875,313.8453063964844,0.9963258504867554,590.35546875,312.3699035644531,0.9999581575393677
