scorer,DLC_resnet50_BilliardSep21shuffle1_20000,DLC_resnet50_BilliardSep21shuffle1_20000,DLC_resnet50_BilliardSep21shuffle1_20000,DLC_resnet50_BilliardSep21shuffle1_20000,DLC_resnet50_BilliardSep21shuffle1_20000,DLC_resnet50_BilliardSep21shuffle1_20000,DLC_resnet50_BilliardSep21shuffle1_20000,DLC_resnet50_BilliardSep21shuffle1_20000,DLC_resnet50_BilliardSep21shuffle1_20000,DLC_resnet50_BilliardSep21shuffle1_20000,DLC_resnet50_BilliardSep21shuffle1_20000,DLC_resnet50_BilliardSep21shuffle1_20000,DLC_resnet50_BilliardSep21shuffle1_20000,DLC_resnet50_BilliardSep21shuffle1_20000,DLC_resnet50_BilliardSep21shuffle1_20000
bodyparts,white,white,white,purple,purple,purple,red,red,red,start_tip,start_tip,start_tip,end_tip,end_tip,end_tip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,143.937255859375,227.04563903808594,0.999997079372406,217.1443634033203,229.29302978515625,0.9999784231185913,498.5548095703125,158.02206420898438,0.9999701976776123,536.1317138671875,288.49017333984375,0.9973583817481995,591.455322265625,284.2714538574219,0.9997556805610657
1,143.91424560546875,226.97743225097656,0.9999979734420776,216.9407958984375,229.15054321289062,0.9999791383743286,498.0909423828125,157.90379333496094,0.9999737739562988,536.0858764648438,288.3538513183594,0.9980727434158325,591.6957397460938,283.9506530761719,0.9998314380645752
2,143.87191772460938,226.89207458496094,0.9999982118606567,216.6675567626953,229.10794067382812,0.9999765157699585,498.0924072265625,157.92164611816406,0.9999775290489197,536.1715087890625,288.62371826171875,0.9979680776596069,591.5179443359375,284.0345458984375,0.9997807741165161
3,143.78907775878906,226.92941284179688,0.9999982714653015,217.56097412109375,228.91641235351562,0.9999708533287048,497.8810729980469,157.60205078125,0.9999797344207764,536.302490234375,288.4569091796875,0.9982342720031738,591.817626953125,283.7511291503906,0.9998459219932556
4,143.85911560058594,226.8970489501953,0.9999980926513672,217.503173828125,228.87632751464844,0.9999688863754272,497.7961120605469,157.7172393798828,0.999978244304657,536.1452026367188,288.3900451660156,0.9982595443725586,591.7891235351562,283.5850524902344,0.9998381733894348
5,143.89820861816406,226.98178100585938,0.9999980926513672,217.27322387695312,228.77809143066406,0.9999673366546631,497.6532897949219,157.56578063964844,0.9999822974205017,536.2288208007812,288.56890869140625,0.998177170753479,591.9227905273438,283.55694580078125,0.9998220801353455
6,143.79750061035156,226.9688262939453,0.999998152256012,217.2984161376953,228.64773559570312,0.9999719262123108,497.8548583984375,157.66465759277344,0.9999806880950928,536.4791870117188,288.3826904296875,0.9983488917350769,591.8919677734375,283.41278076171875,0.9998307228088379
7,144.0432891845703,226.97943115234375,0.9999980330467224,217.10366821289062,228.82476806640625,0.999966025352478,497.7423400878906,157.64784240722656,0.9999822974205017,536.5751342773438,288.4298400878906,0.9983080625534058,591.9122314453125,283.305908203125,0.9998725652694702
8,144.07943725585938,226.95187377929688,0.999997615814209,217.02145385742188,228.81321716308594,0.9999692440032959,497.5743103027344,157.5777587890625,0.9999822378158569,536.9249877929688,288.3199462890625,0.9979581832885742,592.057373046875,283.1713562011719,0.9998540878295898
9,143.9985809326172,227.06301879882812,0.999998152256012,217.22869873046875,228.6010284423828,0.9999674558639526,497.7143249511719,157.5465087890625,0.9999842047691345,536.8600463867188,288.333251953125,0.9980292916297913,592.1089477539062,283.22686767578125,0.9998503923416138
10,144.12289428710938,226.9800567626953,0.9999977946281433,217.24334716796875,228.74864196777344,0.9999628067016602,497.6961669921875,157.52085876464844,0.9999834299087524,536.5951538085938,288.3775634765625,0.9981650114059448,591.933837890625,283.22943115234375,0.9998736381530762
11,144.05763244628906,226.96340942382812,0.9999978542327881,217.30075073242188,228.82080078125,0.9999668598175049,497.630126953125,157.61712646484375,0.9999849796295166,536.8079223632812,288.313232421875,0.9978426694869995,591.9716186523438,283.3175964355469,0.99985271692276
12,144.06517028808594,226.99948120117188,0.9999980926513672,217.3431854248047,228.61672973632812,0.9999685287475586,497.77154541015625,157.6620330810547,0.9999837875366211,536.6845703125,288.3160705566406,0.9981517791748047,591.9560546875,283.35247802734375,0.9998681545257568
